ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,resp_mime_types,orig_fuids,orig_mime_types,referrer,resp_filenames,podejrzany_user_agent,podejrzany_uri
1425567249.816963,CGWfbt0KCEkIkNu7,192.168.0.51,50692,192.168.0.1,80,1,GET,192.168.0.1,/uir/ui.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['Fbtvteq2JFMG8NBoj'],['text/plain'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.817974,CuhYin1TV9bJ4GhTN5,192.168.0.51,50694,192.168.0.1,80,1,GET,192.168.0.1,/uir/dirary0.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FtJugx1EuUHr3tLSj'],['text/plain'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.817488,CnZQUB3huA1liy6V6c,192.168.0.51,50693,192.168.0.1,80,1,GET,192.168.0.1,/uir/deschint.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['F6n9O61AhCtdqdRqmd'],['text/plain'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.819219,CVfbWq4b4ELyowhRq9,192.168.0.51,50695,192.168.0.1,80,1,GET,192.168.0.1,/uir/dirb0.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FS7e2K289ixXVxnqD8'],['text/plain'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.819471,CSJBPx3EcE6w0r8sEk,192.168.0.51,50696,192.168.0.1,80,1,GET,192.168.0.1,/uir/dira0.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['Fz4szNwiwBbErTC8f'],['text/plain'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.830345,C01Dt43xUDEwDVjyFk,192.168.0.51,50697,192.168.0.1,80,1,GET,192.168.0.1,/uir/daj.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,2698,200.0,OK,[],['FjyGB8tipMMb7we1j'],['text/plain'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.840898,CDjfEp1uy3VWYMs8J5,192.168.0.51,50698,192.168.0.1,80,1,GET,192.168.0.1,/uir/valChk.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FbqxBHb5ENnS3PQ78'],['text/plain'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.849614,CB4GMD3MEPlzZ1Tqj,192.168.0.51,50699,192.168.0.1,80,1,GET,192.168.0.1,/shelp_us.js?rc=1425567249849,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FRQxPv1avlT2GwCN4a'],,,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.921553,CSiDJ932kLfJmbBCBf,192.168.0.51,50700,192.168.0.1,80,1,GET,192.168.0.1,/wps.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['F7k8qY1ryKeNmAVHNk'],['text/plain'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
1425567249.921729,CHeBpT2O4sko7ePGt2,192.168.0.51,50701,192.168.0.1,80,1,GET,192.168.0.1,/ssetup_us.js?rc=1425567249849,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FNIHw64h9TirxUScO3'],,,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
