ts,fuid,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source,depth,analyzers,duration,local_orig,is_orig,seen_bytes,missing_bytes,overflow_bytes,timedout,total_bytes,mime_type,filename,podejrzany_typ
1428911085.037038,FcvUDw4zrkhda2TeQ1,CHQlVJMBXg9oo49u2,61.160.195.10,3627,192.168.0.2,80,HTTP,0,[],0.0,True,False,208,0,0,False,208.0,text/html,,Nie
1428911089.331832,FD1QvLJEmGEX5JrQb,CeniWs4dhzLV9HQZ9j,192.168.0.54,52959,198.199.14.136,80,HTTP,0,[],0.006847143173217001,False,False,14114,0,0,False,,,,Nie
1428911111.917153,FTpcCc3jHtz9Xj8JG2,CCYAFr3LecCsLsgmh4,61.160.195.10,2786,192.168.0.2,80,HTTP,0,[],0.0,True,False,205,0,0,False,205.0,text/html,,Nie
1428911112.556981,FN80Pv284X9MejFYrh,CCYAFr3LecCsLsgmh4,61.160.195.10,2786,192.168.0.2,80,HTTP,0,[],0.0,True,False,205,0,0,False,205.0,text/html,,Nie
1428911116.738445,F4dJtjmi5CeuJKaS4,C1Glbm28OD6xwfl0q7,192.168.0.51,37317,93.184.220.29,80,HTTP,0,[],0.0,True,True,83,0,0,False,83.0,application/ocsp-request,,Nie
1428911116.776473,FZupRB4xdGJk9fdco,C1Glbm28OD6xwfl0q7,192.168.0.51,37317,93.184.220.29,80,HTTP,0,['OCSP_REPLY'],0.0,False,False,471,0,0,False,471.0,application/ocsp-response,,Nie
1428911236.475815,Fl6ZFR2XUrCRZrN8W5,CJO4hQ2VINKnHv3Am9,192.168.0.51,37324,93.184.220.29,80,HTTP,0,[],0.0,True,True,83,0,0,False,83.0,application/ocsp-request,,Nie
1428911236.516901,FvpkBm1NIeTzZY5gi,CJO4hQ2VINKnHv3Am9,192.168.0.51,37324,93.184.220.29,80,HTTP,0,['OCSP_REPLY'],0.0,False,False,471,0,0,False,471.0,application/ocsp-response,,Nie
1428911236.522709,Fw4ODk25r63lwnsz6i,CJO4hQ2VINKnHv3Am9,192.168.0.51,37324,93.184.220.29,80,HTTP,0,[],0.0,True,True,83,0,0,False,83.0,application/ocsp-request,,Nie
1428911236.55711,FccVp93v0gJkIWt4Qc,CJO4hQ2VINKnHv3Am9,192.168.0.51,37324,93.184.220.29,80,HTTP,0,['OCSP_REPLY'],0.0,False,False,471,0,0,False,471.0,application/ocsp-response,,Nie
1428911237.481711,FsklCb2Avshj4WarTh,CJO4hQ2VINKnHv3Am9,192.168.0.51,37324,93.184.220.29,80,HTTP,0,[],0.0,True,True,83,0,0,False,83.0,application/ocsp-request,,Nie
1428911237.517764,FwgbzUf7CVCMIgF95,CJO4hQ2VINKnHv3Am9,192.168.0.51,37324,93.184.220.29,80,HTTP,0,['OCSP_REPLY'],0.0,False,False,471,0,0,False,471.0,application/ocsp-response,,Nie
1428911447.137705,FHyQwY2efgnrpCweM6,CBnf9f1K245XfkwTe5,192.168.0.51,37328,93.184.220.29,80,HTTP,0,[],0.0,True,True,83,0,0,False,83.0,application/ocsp-request,,Nie
1428911447.177984,FRUYLS35TaFPe8XYxd,CBnf9f1K245XfkwTe5,192.168.0.51,37328,93.184.220.29,80,HTTP,0,['OCSP_REPLY'],0.0,False,False,471,0,0,False,471.0,application/ocsp-response,,Nie
1428911447.561846,Fbkcdz28RYIs1IQCDc,CBnf9f1K245XfkwTe5,192.168.0.51,37328,93.184.220.29,80,HTTP,0,[],0.0,True,True,83,0,0,False,83.0,application/ocsp-request,,Nie
